GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Archetype - Java JPA Rest API - Service,es.um.asio.service.filter,UserFilter,77,3,6,0,12,1,11,1,8,1
Archetype - Java JPA Rest API - Service,es.um.asio.service.mapper,BaseMapper,14,0,0,0,2,0,2,0,2,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.mapper,MapperConfig,3,0,0,0,1,0,1,0,1,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.mapper,UserMapperImpl,18,0,0,0,4,0,4,0,4,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.mapper,UserMapperImpl_,384,0,28,0,104,0,21,0,7,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr.model,UserSolr,59,0,0,0,10,0,17,0,17,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.util,Utils,241,0,42,0,46,0,27,0,6,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config.properties,PersistenceProperties,0,17,0,0,0,4,0,5,0,5
Archetype - Java JPA Rest API - Service,es.um.asio.service.config.properties,DatasourceProperties,19,19,0,0,5,2,6,5,6,5
Archetype - Java JPA Rest API - Service,es.um.asio.service.config.properties,JpaProperties,0,42,0,0,0,6,0,9,0,9
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,DataFetcherServiceImpl,901,0,90,0,176,0,54,0,9,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,SchemaServiceImp,121,0,10,0,31,0,13,0,8,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,ServiceDiscoveryServiceImpl,253,0,20,0,51,0,15,0,5,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,HttpRequestHelperImpl,94,0,6,0,21,0,5,0,2,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,TextHandlerServiceImp,80,0,4,0,12,0,6,0,4,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,UserServiceImpl,35,55,1,1,8,10,5,8,4,8
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,LODHandlerServiceImp.DatasetEnum,60,0,4,0,12,0,7,0,5,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,FederationServiceImpl,356,0,38,0,67,0,23,0,4,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service.impl,LODHandlerServiceImp,62,0,8,0,17,0,6,0,2,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model.constants,Constants,3,0,0,0,1,0,1,0,1,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.proxy.impl,UserProxyImpl,104,0,0,0,15,0,11,0,11,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.dto,UserDto,149,0,0,0,19,0,34,0,34,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,CustomObject,215,0,20,0,37,0,25,0,15,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,WatchDog,24,0,0,0,6,0,4,0,4,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,Role.AnonymousAuthority,33,3,6,0,8,1,6,1,3,1
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,Node,43,0,0,0,9,0,7,0,7,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,TripleObjectSimplified,314,0,38,0,58,0,41,0,22,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,User_,3,0,0,0,1,0,1,0,1,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,TripleObjectLink,336,0,16,0,60,0,39,0,31,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,CustomTriplet,235,0,22,0,44,0,24,0,13,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,URIComponent,176,0,24,0,32,0,27,0,15,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,Role,3,51,0,0,1,5,1,2,1,2
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,User,214,30,18,0,20,7,41,9,32,9
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,CustomRDF,160,0,24,0,29,0,24,0,12,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,Role.UserAuthority,33,3,6,0,8,1,6,1,3,1
Archetype - Java JPA Rest API - Service,es.um.asio.service.model,Role.AdministratorAuthority,33,3,6,0,8,1,6,1,3,1
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,LodDataSet.Dataset.Connection.Mapping.LocalClass.Mapper,42,0,0,0,9,0,7,0,7,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,DataSourceRepository.Node.Service.Type,46,0,0,0,7,0,10,0,10,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,LodDataSet.Dataset.Connection,230,0,14,0,44,0,27,0,20,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,LodDataSet.Dataset.Connection.Mapping,171,0,6,0,29,0,21,0,18,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,LodDataSet,74,0,6,0,16,0,9,0,6,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,LodDataSet.Dataset.Connection.Mapping.LocalClass,111,0,4,0,17,0,11,0,9,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,LodDataSet.Dataset.Connection.ConnectionType,24,0,0,0,2,0,1,0,1,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,SpringAsyncConfig,23,0,0,0,8,0,2,0,2,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,DataSourceRepository,47,0,4,0,9,0,7,0,5,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,LodDataSet.Dataset,272,0,28,0,57,0,26,0,12,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,DataSourceRepository.Node,59,0,4,0,10,0,9,0,7,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,DataSourceRepository.Node.Service,116,0,8,0,17,0,20,0,16,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.config,PersistenceConfig,65,149,7,9,17,30,7,7,1,5
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr.mapper.decorator,UserSolrMapperDecorator,25,0,2,0,5,0,3,0,2,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr.mapper,UserSolrMapperImpl,23,0,0,0,5,0,5,0,5,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr.mapper,BaseSolrMapper,14,0,0,0,2,0,2,0,2,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr.mapper,UserSolrMapperImpl_,172,0,16,0,47,0,14,0,6,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.repository.lod.connectors,SCOPUSHandler,429,3,48,0,91,1,29,1,5,1
Archetype - Java JPA Rest API - Service,es.um.asio.service.repository.lod.connectors,CrossRefHandler,429,3,48,0,91,1,29,1,5,1
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr.repository.impl,UserSolrRepositoryImpl,67,0,8,0,12,0,7,0,3,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr,SolrConfig,3,0,0,0,1,0,1,0,1,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.repository,SparqlProxyHandler,13,0,0,0,4,0,2,0,2,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.repository,RepositoryConfig,0,3,0,0,0,1,0,1,0,1
Archetype - Java JPA Rest API - Service,es.um.asio.service,ServiceConfig,3,0,0,0,1,0,1,0,1,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.mapper.decorator,UserMapperDecorator,67,0,8,0,18,0,9,0,5,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.exceptions,CustomFederationException,12,0,0,0,6,0,3,0,3,0
Archetype - Java JPA Rest API - Service,util,AttributeType,64,0,0,0,2,0,1,0,1,0
Archetype - Java JPA Rest API - Service,util,Utils.new Comparator() {...},24,0,2,0,5,0,3,0,2,0
Archetype - Java JPA Rest API - Service,util,Utils,1516,0,124,0,201,0,98,0,36,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.service,FederationServiceHelper,402,0,32,0,76,0,20,0,4,0
Archetype - Java JPA Rest API - Service,es.um.asio.service.solr.indexer,UserIndexerImpl,48,0,2,0,13,0,6,0,5,0
